provider_id,npi,name,specialty,state,zip_code,is_flagged,license_valid,joined_date
c65abb1b-43e1-4a73-b5dc-f20ccbb4c4ee,8057244735,Mclaughlin LLC Medical Group,Psychiatry,NM,49962,False,True,2021-09-09
571772af-2d0f-447a-be14-31ea432b0464,0199553513,Mcmahon LLC Medical Group,General Practice,VA,45942,False,True,2023-01-23
7d904134-8bc5-495b-b7c9-db20e8a4655b,8788520467,Smith-Watson Medical Group,Emergency Medicine,OH,39395,False,True,2025-04-17
e4d1e72e-78c5-4fba-9180-9ed292275900,5193427356,"Mercado, Perry and Marshall Medical Group",Cardiology,NM,05698,False,True,2017-06-03
55881fdb-aa30-484c-98cf-795164ece981,1928804986,Wilson Inc Medical Group,Cardiology,VT,91968,False,True,2022-02-16
998b44d9-e2ed-4d65-987b-be8d64a62b9c,0825235035,"Brown, Guerra and Gonzalez Medical Group",General Practice,MO,47447,True,False,2024-11-28
650f1c45-2eb7-4824-a6f5-4f0010eff29d,6693859682,"Brown, Gallagher and Willis Medical Group",Psychiatry,PW,59785,False,True,2018-11-01
a071dd53-556d-43b3-8247-c7a205731421,3083184293,Smith Group Medical Group,Internal Medicine,MP,58396,False,True,2022-07-28
625078a1-f3cb-4bda-96dc-7a57ba1e6b14,1182996336,"Grant, Mata and Martin Medical Group",Cardiology,MN,69620,False,True,2023-06-25
96d96095-c3e5-49ce-acaf-d101f65e5a2b,9649983858,"Lawrence, Kelly and Carpenter Medical Group",Psychiatry,PA,50095,False,True,2017-02-23
9107a82d-638a-44e1-b5a6-f50431b0c2a9,6938247300,Salinas LLC Medical Group,General Practice,IA,51759,False,True,2020-07-01
21dc792a-9c9d-4e7e-9dad-38c8de366f5e,2777120111,Pearson Inc Medical Group,General Practice,ND,03569,False,True,2021-05-23
3e440f69-eac4-4e75-b2c7-91baeeb789cf,8503592951,Coleman-Murphy Medical Group,General Practice,WY,56274,False,True,2023-08-09
f5e1473d-0bdd-481d-94c5-27f37e41acaa,0376094757,"Wall, Miller and Carr Medical Group",Orthopedics,MI,39250,False,True,2017-08-30
529f68ce-4f71-4ba0-9968-d0c4d12c1ba7,0525971304,Olsen Ltd Medical Group,Psychiatry,AR,73342,False,True,2019-02-18
d584da84-8e4e-4955-a8c8-a6698ef383ae,4431032360,"Norman, James and Martin Medical Group",Internal Medicine,NM,70284,False,True,2022-10-27
b403418d-c452-4820-b51c-2c75351a501b,2883520320,Cooper-Munoz Medical Group,Oncology,UT,87599,False,True,2022-04-10
40497f8a-4634-495d-ae37-aa9c0c0068b7,8962606323,Smith-Murphy Medical Group,Emergency Medicine,CT,80068,False,True,2025-03-29
ba6ffea9-b49e-42cf-83c6-664ab8ec9e14,6068934664,Adams-Hopkins Medical Group,Psychiatry,AS,93700,False,True,2016-12-22
9be0bc60-74da-4a01-a012-c4bb15e50c96,2898381278,Williams-Phelps Medical Group,Internal Medicine,CA,05967,False,True,2024-03-29
03b6b3a5-87f5-4afa-a7c7-98049b92f1e1,5475685361,Anderson-Kramer Medical Group,Cardiology,AL,69220,False,True,2017-01-21
a36814ef-d75e-4628-9fc8-7f2d759485d6,6967166461,"Young, Martinez and Waters Medical Group",Neurology,NE,39340,False,True,2020-02-25
cf359e58-f525-4a38-9b7a-34cb10fce0c1,3533908896,"Oconnor, King and Harris Medical Group",Emergency Medicine,KY,61619,False,True,2019-07-29
112f807f-b43e-42b9-bdb2-1fece5a217ba,8058916209,Washington PLC Medical Group,Psychiatry,MO,47482,False,True,2023-03-03
8a3ae170-8e6e-4019-844c-1fa85539f277,7375769340,"Leon, Perez and David Medical Group",Emergency Medicine,IN,64844,False,True,2023-12-17
78434b96-d6c9-4445-9c3e-85c9cae6ab79,6362565724,Turner-Murphy Medical Group,Orthopedics,PR,77489,False,True,2016-09-14
b471ff31-2fe3-454f-bb97-358ecf3d6c00,5821323687,Blanchard Group Medical Group,Cardiology,IL,91100,False,True,2023-11-13
6383f601-5877-4561-9259-3e14916bd055,3359591306,"Davis, Olson and Mitchell Medical Group",Neurology,CT,25369,False,True,2017-10-18
ee5a8867-7434-470a-90b5-c44f2a0a0565,6613739087,Lynch LLC Medical Group,Neurology,SD,84224,False,True,2021-10-19
557e3a2e-fdbc-44de-ad61-42dbc1c18935,0699466458,Larson Inc Medical Group,Cardiology,SD,94641,False,True,2020-04-25
baf40573-efe0-4c9f-ad13-bf2e07a5f6d1,1961642095,"Bishop, Jackson and Vincent Medical Group",General Practice,NH,88079,False,True,2023-06-08
bd546149-95ea-4f79-a280-e72629a3e73c,5098419584,"Sullivan, Romero and Charles Medical Group",Neurology,VI,50567,False,True,2018-06-12
e3796dbb-26e5-4fbe-a752-7269961d2050,4877461356,Griffin Inc Medical Group,Internal Medicine,MO,47235,False,True,2024-01-25
1d7d44a8-90bd-410d-a431-48b9d5281c30,9303939445,Navarro-Garcia Medical Group,Cardiology,NJ,43279,False,True,2023-08-09
2f2efcf9-b53b-47ee-a318-b390bf21bcd5,9265880242,Ramos-Colon Medical Group,Psychiatry,AS,68719,False,True,2024-10-13
e420e63c-64c3-48e4-99e5-49f536d22b66,4021373329,Jacobson-Lang Medical Group,Orthopedics,VT,14214,False,True,2022-03-22
bfd700fc-a6c5-40f6-844c-987a35fc5bfe,3792490623,Santos-Rojas Medical Group,Oncology,MN,06151,False,True,2020-09-15
8ed8b31a-98e6-4388-9f0f-fa6b31c48b2c,3346798789,Frank Ltd Medical Group,Cardiology,GU,39147,False,True,2019-02-07
